avg_completion_percent,completion_trend,weeks_elapsed_ratio,num_checkins_missed,label
62.96,1.7285,0.4127,2,1
97.16,-1.8416,0.293,7,1
33.27,-0.1887,0.3851,6,0
39.83,0.5243,0.5375,1,1
20.29,0.203,0.668,7,0
5.07,-1.7034,0.5533,6,0
21.29,0.3729,0.1463,7,0
91.55,-1.1112,0.7861,3,1
84.02,-1.2178,0.8815,7,0
11.24,1.5148,0.1412,2,1
60.38,-1.2086,0.2746,2,1
47.92,-0.1828,0.2063,4,0
59.47,1.0011,0.8142,2,1
65.93,0.8293,0.8693,0,1
30.67,0.2138,0.0898,5,0
96.14,1.2282,0.3492,3,1
46.58,-0.1367,0.2232,6,1
62.81,0.4815,0.4726,1,1
63.52,1.2757,0.8794,1,0
18.39,0.7124,0.1132,5,0
6.19,0.5673,0.2042,5,0
41.15,-0.3755,0.4883,4,0
76.4,0.2333,0.5216,4,1
81.52,-0.4157,0.721,6,1
73.0,0.9772,0.4439,7,0
11.32,-0.4783,0.177,7,0
91.34,-0.1335,0.3683,7,1
80.2,1.0218,0.9339,2,1
87.77,0.0146,0.7256,6,1
52.33,-0.6479,0.1547,2,1
91.56,1.3073,0.7774,6,1
4.67,-0.4761,0.3298,7,0
3.03,1.3789,0.7533,3,0
2.02,1.141,0.0614,4,0
25.28,-0.2108,0.8341,0,0
24.86,0.8516,0.1961,0,0
18.75,-1.8624,0.4602,1,0
56.71,-0.4408,0.6456,0,1
3.9,1.4413,0.5071,3,0
59.04,0.3182,0.1989,7,1
16.6,0.2313,0.1752,5,0
67.79,0.659,0.3061,4,1
2.11,0.7107,0.0972,5,0
31.06,0.3344,0.2449,0,1
93.83,-0.3175,0.1671,5,1
53.84,-1.2661,0.4683,4,0
81.16,-0.8294,0.3709,0,1
65.8,-0.8283,0.5781,4,0
61.08,-0.277,0.3028,5,0
19.13,1.9962,0.0805,3,0
57.44,-0.5898,0.348,7,0
3.97,-0.2105,0.7297,7,0
80.17,-0.5135,0.2803,2,1
96.01,0.3257,0.4141,7,1
85.4,1.7916,0.7295,1,1
5.07,1.5563,0.416,0,0
33.87,-0.4914,0.8484,5,0
31.8,-0.9324,0.8763,1,0
11.27,1.5376,0.3295,2,0
62.66,-0.0247,0.7124,3,0
79.75,0.7422,0.2778,5,1
31.37,-1.7068,0.1756,6,0
86.28,1.4662,0.4441,7,0
79.71,-0.7481,0.5922,4,1
12.91,-0.0219,0.892,7,0
76.69,-1.2079,0.1813,5,1
88.26,-0.319,0.6911,6,0
19.73,1.3122,0.4779,4,0
57.36,1.3103,0.1685,0,1
63.87,-0.1053,0.9254,1,1
60.93,1.0716,0.6762,3,0
9.62,-0.1677,0.166,6,0
66.12,-0.5066,0.8652,3,0
63.2,0.1836,0.1428,0,1
82.39,-1.1946,0.1334,3,1
80.35,-0.7338,0.3484,5,1
32.72,0.8261,0.8942,7,0
72.2,1.0821,0.0797,1,1
86.73,-1.7732,0.8764,2,1
89.29,0.9313,0.6005,3,1
16.15,1.2697,0.1103,3,1
2.67,-0.2192,0.5617,7,0
65.08,-1.7502,0.4629,3,0
21.47,0.7317,0.5576,4,0
56.37,-1.0153,0.7135,2,1
94.48,0.5734,0.6608,0,1
37.93,-0.4935,0.9475,3,0
25.28,0.5487,0.191,3,0
45.65,-0.9675,0.7816,1,0
65.72,-0.0939,0.42,5,0
10.11,0.0987,0.755,2,0
38.06,0.5241,0.8526,0,0
13.37,-1.1873,0.9428,4,0
66.24,1.8482,0.2894,2,1
83.06,-0.8434,0.4576,5,1
37.69,-0.7759,0.8985,0,0
37.17,-0.9748,0.9012,6,0
53.95,-1.7301,0.3856,4,0
21.51,-0.3083,0.8962,5,0
24.74,1.0873,0.4153,3,1
32.99,0.8383,0.3873,7,1
45.74,-1.2177,0.731,4,0
8.15,-1.4523,0.4741,7,0
75.27,-0.7143,0.4534,2,1
57.91,1.073,0.3975,6,0
29.97,-0.0477,0.4395,5,0
7.75,1.6927,0.1758,7,0
76.32,0.6255,0.1049,1,1
13.11,0.4836,0.7286,4,0
13.32,1.0708,0.558,7,0
13.07,1.001,0.6547,1,1
8.13,-0.6246,0.7721,7,0
90.64,-0.972,0.2571,7,1
26.92,-0.2495,0.2604,3,0
30.64,-0.043,0.3001,5,0
83.28,-1.4331,0.3235,3,1
61.99,-0.2347,0.7346,5,1
18.71,0.5593,0.3868,6,0
43.48,-1.4571,0.3409,5,0
88.39,-1.4478,0.6227,2,1
37.54,-1.3051,0.2179,4,0
71.09,-0.8667,0.1458,6,0
9.68,1.8468,0.6774,4,0
72.73,-1.8968,0.7308,2,0
77.65,-1.265,0.3167,6,0
82.58,-1.3398,0.6224,5,1
