text,label
My dream is to earn my commercial pilot license and fly passenger jets internationally,commercial_pilot
I am working toward getting my ATP license to become a commercial pilot,commercial_pilot
I want to complete flight training and become a first officer at a regional airline,commercial_pilot
My goal is to log enough flight hours to qualify for a commercial pilot certificate,commercial_pilot
I want to transition from military aviation to a commercial airline pilot career,commercial_pilot
I am studying for my instrument rating to get closer to my commercial pilot license,commercial_pilot
My dream career is to be a commercial pilot flying long haul international routes,commercial_pilot
I want to become a cargo pilot flying freight for a major logistics airline,commercial_pilot
I plan to enroll in a flight academy to earn my commercial pilot license in 18 months,commercial_pilot
My goal is to get hired by a major airline as a commercial pilot within three years,commercial_pilot
I want to fly for a budget airline as a commercial pilot after completing my ATPL training,commercial_pilot
I am building flight hours as a flight instructor to eventually become a commercial airline pilot,commercial_pilot
I want to become a helicopter commercial pilot working on offshore oil rig transport,commercial_pilot
I plan to get my commercial pilot license and eventually captain a wide body aircraft,commercial_pilot
I want to become a charter pilot and build hours toward a major airline commercial career,commercial_pilot
My goal is to complete PPL CPL and ATPL to become a full commercial airline pilot,commercial_pilot
I want to become a data scientist working with big data and building statistical models,data_scientist
My goal is to master SQL Python and statistics to land a data scientist role at a tech company,data_scientist
I want to build predictive models and work as a data scientist in the finance industry,data_scientist
I am learning pandas matplotlib and scikit-learn to become a professional data scientist,data_scientist
My dream is to become a data scientist at a top consulting firm doing advanced analytics,data_scientist
I want to use data science to extract insights from large datasets and solve business problems,data_scientist
My goal is to transition from business analyst to data scientist using Python and machine learning,data_scientist
I want to become a data scientist specializing in time series forecasting and anomaly detection,data_scientist
I am completing a data science bootcamp to land my first data scientist position,data_scientist
My ambition is to become a senior data scientist and lead analytics projects at a tech company,data_scientist
I want to work as a data scientist in healthcare analyzing patient data to improve outcomes,data_scientist
My goal is to build recommendation engines and work as a data scientist at an ecommerce company,data_scientist
I want to specialize in A/B testing and experimentation as a data scientist at a product company,data_scientist
I am studying statistics and probability to become a quantitative data scientist,data_scientist
My plan is to get a data science master's degree and then join a data team as a data scientist,data_scientist
I want to do data analysis build dashboards and create ML models as a data scientist,data_scientist
I want to become a product manager driving roadmap decisions at a top tech company,product_manager
My goal is to transition from engineering into product management and own a product,product_manager
I want to become a product manager working on mobile apps with a talented engineering team,product_manager
My dream is to be a senior product manager at a startup shaping the product vision,product_manager
I want to get a product manager role and use data to make product decisions that matter,product_manager
I am learning product strategy user research and roadmap prioritization to become a product manager,product_manager
My goal is to become a product manager and lead cross functional teams to ship great products,product_manager
I want to transition from project management to a product management role at a tech company,product_manager
My ambition is to become a chief product officer starting as a product manager at a startup,product_manager
I want to do user interviews define requirements and lead sprints as a product manager,product_manager
My plan is to get a product management certification and land my first PM job in six months,product_manager
I want to become an AI product manager working on machine learning powered products,product_manager
I am building product management skills to transition from marketing into a PM role,product_manager
My goal is to become a growth product manager driving user acquisition and retention metrics,product_manager
I want to join a top tech company as a product manager and eventually run a product line,product_manager
I am working toward becoming a B2B product manager at a SaaS company managing enterprise features,product_manager
I want to get fit and run a marathon in under four hours,other
My goal is to write and publish a novel in the next year,other
I want to save enough money to travel across Europe for three months,other
My dream is to open a small bakery and run my own food business,other
I want to learn to play the guitar well enough to perform at an open mic,other
My goal is to build a strong social media presence and become a content creator,other
I want to renovate my house and flip it for a profit in real estate,other
I am trying to lose thirty pounds and develop a healthy lifestyle,other
My goal is to start a YouTube channel about cooking and grow it to one hundred thousand subscribers,other
I want to learn Spanish fluently within two years by taking lessons and practicing daily,other
My dream is to become a successful entrepreneur and build a profitable business from scratch,other
I want to retire early by building passive income streams through investments and real estate,other
I am trying to get better at public speaking and overcome my fear of presentations,other
My goal is to become a professional photographer and sell my prints online,other
I want to achieve financial independence and leave my nine to five job within five years,other
I am learning to cook gourmet meals and want to eventually host a cooking show,other
